country;Purchasing Power Value;Purchasing Power Category;Safety Value;Safety Category;Health Care Value;Health Care Category;Climate Value;Climate Category;Cost of Living Value;Cost of Living Category;Property Price to Income Value;Property Price to Income Category;Traffic Commute Time Value;Traffic Commute Time Category;Pollution Value;Pollution Category;Quality of Life Value;Quality of Life Category;Continent;Purchasing Power Value nor;Safety Value nor;Health Care Value nor;Climate Value nor;Cost of Living Value nor;Property Price to Income Value nor;Traffic Commute Time Value nor;Pollution Value nor;Etudiant;Salarie;Independant;Touriste;Chomeur
Afghanistan;32,15;Very Low;25,33;Low;24,24;Low;81,66;Very High;21,08;Very Low;7,8;Low;56,17;Very High;84,44;Very High;76,03;Very Low;Asia;-0,788026353;-0,756355659;-0,859597447;0,621587961;0,946764878;0,967767033;-0,09675425;-0,56578057;0,201824555;-1,553968832;1,873585052;0,149462359;0,201824555
Albania;42,82;Low;55,52;Moderate;48,21;Moderate;86,43;Very High;40,85;Low;14,88;High;36,74;Moderate;77,25;High;104,16;Low;Europe;-0,711615583;0,022841657;-0,271232204;0,720601972;0,61580313;0,936289874;0,303657908;-0,42677622;1,607360366;-0,040545091;2,149576665;1,236128447;1,607360366
Algeria;27,6;Very Low;47,54;Moderate;54,43;Moderate;94,82;Very High;25,31;Very Low;21,7;Very High;45,09;High;63,87;High;98,83;Very Low;Africa;-0,82061014;-0,183120403;-0,118556701;0,894758692;0,875952122;0,905968656;0,131581659;-0,168100532;1,611825333;-0,114753463;2,640160598;1,551071539;1,611825333
American Samoa;57,08;Low;54,41;Moderate;56,67;Moderate;77,57;High;51,07;Low;34,92;Very High;100;Very High;78,45;High;69,54;Very Low;Oceania;-0,609495846;-0,005807201;-0,063573883;0,536689154;0,444714154;0,847193509;-1;-0,449975834;0,222526579;-1,234162776;0,378620984;-0,474379726;0,222526579
Andorra;121,14;Very High;84,71;Very High;75,56;High;74,93;High;48,09;Low;9,03;Moderate;13,33;Very Low;22,98;Low;202,02;Very High;Europe;-0,150744772;0,776229191;0,400098184;0,481888947;0,494601155;0,962298544;0,786089645;0,622426293;3,419316718;2,306273402;3,347304583;3,16123523;3,419316718
Angola;224,46;Very High;33,71;Low;36,58;Low;52,8;Moderate;42,57;Low;8,01;Moderate;65,43;Very High;92,07;Very High;187,79;Very High;Africa;0,589157834;-0,540069686;-0,556701031;0,022522055;0,587009291;0,966833389;-0,28758372;-0,713291445;0,169488243;-0,208187312;0,57548957;-0,931413505;0,169488243
Anguilla;132,14;Very High;75,44;High;77,08;High;65,81;High;61,24;Moderate;1,84;Very Low;21,39;Very Low;32,74;Very Low;200,28;Very High;North America;-0,071970782;0,536972513;0,437407953;0,292579139;0,274462208;0,994264755;0,619989696;0,433736104;2,863097124;1,796861588;2,615031902;2,15773966;2,863097124
Argentina;40,36;Low;36,36;Low;68;High;98,28;Very High;32,65;Very Low;20,05;Very High;44,07;High;50,81;Moderate;115,06;Low;South America;-0,729232312;-0,471673764;0,214531173;0,966580176;0,753076086;0,913304435;0,152601752;0,084388594;1,561839681;-0,080697065;2,869951042;1,484972843;1,561839681
Armenia;36,91;Very Low;77,81;High;58,07;Moderate;63,42;High;41,84;Low;20,95;Very High;29,31;Low;62,55;High;116,56;Low;Asia;-0,7539387;0,598141696;-0,029209622;0,242968345;0,599229932;0,909303101;0,456774858;-0,142580957;2,534239965;0,870998165;2,065695279;1,754533874;2,534239965
Aruba;71,46;Moderate;69,23;High;78,7;High;77,75;High;79,42;High;5,32;Low;46,33;High;35,7;Low;157,36;High;North America;-0,506516757;0,376693767;0,477172312;0,540425532;-0,029881979;0,978792931;0,106027821;0,376510391;1,908804852;0,423495164;1,971874696;1,369775532;1,908804852
